rank,domain,inital_banner,modifcation_method,inital_cookies,accept_cookies,revocation_cookies
4,netflix.com,No,Cookie Prefernces,5,NA,6
5,microsoft.com,No,None,23,,NA
14,amazon.com,No,None,8,,
17,live.com,No,None,3,,
21,pinterest.com,No,None,5,,
24,doubleclick.net,Cookie Notice,None,8,,
27,vimeo.com,No,None,29,,
28,amazonaws.com,No,Cookie Prefernces,19,NA,20
33,bit.ly,Cookie Notice,Cookie Policy,14,15,15
43,zoom.us,Cookie Banner,Cookie Preferences,29,29,29
53,office365.com,No,manage cookies,27,,
55,spotify.com,Cookie Notice,None,16,,
56,europa.eu,Cookie Banner,Cookies,3,3,3
58,flickr.com,Cookie Notice,None,11,,
59,digicert.com,Cookie Banner,Cookie Settings,32,35,36
60,skype.com,No,manage cookies,5,,
62,cloudflare.com,No,Cookie Preferences,15,NA,16
71,soundcloud.com,Cookie Banner,Consent Manager,13,16,17
73,ebay.com,No,None,13,,
76,cnn.com,No,None,47,NA,NA
79,forbes.com,No,None,37,,
88,bbc.com,No,None,17,NA,17
89,stackoverflow.com,Cookie Banner,Cookie Settings,1,6,6
92,bbc.co.uk,No,None,17,,
95,etsy.com,No,Privacy Settings,12,NA,13
100,amazon.co.uk,Cookie Banner,Cookie Notice,6,6,6
101,outlook.com,No,None,3,,
112,weebly.com,No,None,29,,
119,oracle.com,No,Cookie Preferences,18,18,18
121,washingtonpost.com,No,Cookie Settings,29,NA,NA
123,opera.com,Cookie Banner,None,15,18,NA
124,reuters.com,No,Cookies,33,34,34
126,tinyurl.com,Cookie Notice,None,20,,
131,dailymail.co.uk,No,None,18,,
133,aliyun.com,No,None,16,,
138,booking.com,No,None,25,,
143,wsj.com,No,None,48,,
145,freepik.com,Cookie Banner,Cookies Settings,25,27,28
147,amazon.de,Cookie Banner,Cookie Notice,7,16,16
149,nginx.com,No,cookie preferences,20,NA,NA
151,nature.com,Cookie Banner,manage cookies,2,15,19
152,opendns.com,Cookie Notice,consent manager,16,NA,NA
153,springer.com,Cookie Banner,manage cookies,2,14,14
159,discord.com,No,cookie settings,6,NA,7
163,ibm.com,Cookie Banner,cookie preferences,27,32,32
166,hp.com,Cookie Banner,cookie settings,11,31,19
168,cnbc.com,No,cookie preferences,58,NA,NA
169,slideshare.net,None,cookie preferences,15,NA,15
173,linktr.ee,None,cookie preferences,17,NA,18
175,samsung.com,Cookie Notice,None,44,46,NA
177,go.com,None,None,13,,
181,gov.uk,Cookie Notice,Cookies,1,9,6
183,windows.com,None,manage cookies,30,,
185,mediafire.com,Cookie Banner,None,11,12,NA
186,cnet.com,None,cookie settings,36,NA,37
190,eventbrite.com,None,None,32,,
192,force.com,None,cookie preferences,23,NA,26
193,deepl.com,Cookie Notice,None,6,6,NA
195,time.com,None,None,39,,
197,pki.goog,Cookie Notice,None,2,2,NA
200,npr.org,Cookie Banner,Your Privacy Choice,38,42,44
207,surveymonkey.com,None,cookies preferences,26,NA,NA
209,hubspot.com,Cookie Banner,None,18,23,NA
210,wired.com,None,cookies settings,56,NA,NA
211,ted.com,None,Privacy Preferences,23,NA,23
215,fiverr.com,None,None,1,,
219,yelp.com,None,cookie preferences,11,,
222,statista.com,Cookie Banner,No way after accepting,7,12,NA
229,azure.com,None,manage cookies,14,,
230,mysql.com,None,cookie preferences,11,NA,15
232,onlyfans.com,Cookie Banner,None,1,3,NA
233,foxnews.com,None,None,37,,
235,zendesk.com,Cookie Banner,cookie settings,32,33,34
238,indiatimes.com,None,None,16,,
244,mailchimp.com,Cookie Notice,cookie preferences,30,NA,32
245,tripadvisor.com,None,cookie consent,22,NA,23
247,slack.com,None,cookie preferences,23,NA,24
248,scribd.com,None,cookie preferences,26,NA,26
251,deviantart.com,None,None,12,,
256,ft.com,Cookie Banner,Cookies -,6,11,15
265,squarespace.com,None,None,27,,
