domain,rank
baidu.com,8
qq.com,13
netflix.net,25
microsoftonline.com,31
googleusercontent.com,38
taobao.com,41
163.com,42
macromedia.com,47
xvideos.com,48
pornhub.com,52
aliexpress.com,78
miit.gov.cn,81
xhamster.com,86
office.net,93
spankbang.com,98
mail.ru,99
wixsite.com,110
1688.com,120
twimg.com,125
xnxx.com,127
youku.com,129
iqiyi.com,136
cloudfront.net,148
alipay.com,170
chaturbate.com,188
stripchat.com,206
jianshu.com,216
realsrv.com,220
beian.gov.cn,225
independent.co.uk,242
amazon-adsystem.com,243
myspace.com,249
xiaohongshu.com,254
ggpht.com,292
akamaized.net,293
smzdm.com,331
msftconnecttest.com,343
usnews.com,361
eporner.com,371
azureedge.net,388
missav.com,407
livejasmin.com,428
sxyprn.com,443
akamaihd.net,457
2mdn.net,458
dmm.co.jp,461
51cto.com,467
trafficmanager.net,468
zol.com.cn,479
newyorker.com,497
noodlemagazine.com,508
nhentai.net,509
media-amazon.com,511
livedoor.jp,515
qidian.com,534
gov.cn,556
people.com.cn,576
ucla.edu,581
licdn.com,594
e-hentai.org,610
shaparak.ir,612
jsdelivr.net,644
alicdn.com,663
a2z.com,666
azurewebsites.net,668
uk.com,669
youporn.com,711
bytedance.net,715
nga.cn,729
4399.com,732
zoukankan.com,754
1337x.to,758
erome.com,763
xhamster18.desi,768
icourse163.org,790
178.com,829
dhl.com,862
dingtalk.com,866
hicloud.com,882
dlsite.com,887
myworkdayjobs.com,889
fidelity.com,896
nhk.or.jp,907
colorado.edu,908
2345.com,917
tokyomotion.net,941
chinatax.gov.cn,948
mlb.com,956
oschina.net,962
tnaflix.com,978
seznam.cz,997
redtube.com,998
virginia.edu,1002
us.com,1005
motherless.com,1011
txxx.com,1017
tsinghua.edu.cn,1018
sina.cn,1029
porntrex.com,1034
lazada.sg,1060
goo.ne.jp,1062
hqporner.com,1063
lenta.ru,1071
army.mil,1075
foodnetwork.com,1076
yuketang.cn,1082
zju.edu.cn,1142
pornzog.com,1148
mgtv.com,1162
ixxx.com,1184
omnitagjs.com,1188
doorblog.jp,1198
linksynergy.com,1205
navy.mil,1220
redgifs.com,1232
sberbank.ru,1246
ed.ac.uk,1251
ctfile.com,1252
alibaba-inc.com,1259
delta.com,1277
riotgames.com,1285
mcafee.com,1302
netdna-ssl.com,1306
hotels.com,1312
lanzoug.com,1313
pornone.com,1315
lazada.co.th,1317
youjizz.com,1318
xunlei.com,1341
tktube.com,1348
upornia.com,1349
189.cn,1361
aa.com,1363
custhelp.com,1367
yhdmp.cc,1386
optnx.com,1392
bendibao.com,1421
xfantazy.com,1423
rezka.ag,1424
pornpics.com,1432
securityfocus.com,1445
japanpost.jp,1447
javhdporn.net,1494
onlinedown.net,1501
weiyun.com,1506
b2clogin.com,1517
bongacams.com,1525
beijing.gov.cn,1537
vatican.va,1540
lanhuapp.com,1558
gwu.edu,1582
yp.to,1590
ehow.com,1595
denverpost.com,1597
chinanews.com,1601
sentinelone.net,1609
mihoyo.com,1615
mos.ru,1618
af.mil,1620
javdb.com,1622
000webhostapp.com,1635
huanqiu.com,1637
mhlw.go.jp,1653
mozilla.net,1654
nunuyy5.org,1659
jav.guru,1663
hbs.edu,1670
serving-sys.com,1692
samsungcloud.com,1694
eu.com,1711
rei.com,1724
66law.cn,1727
experian.com,1777
faa.gov,1782
sci-hub.se,1793
fanfiction.net,1801
nifty.com,1814
chinanews.com.cn,1828
gq.com,1838
libpng.org,1840
cityheaven.net,1857
fmovies.to,1863
qcloud.com,1864
ec-lyon.fr,1890
lazada.com.ph,1904
githubusercontent.com,1924
errors.net,1932
jst.go.jp,1936
lazada.com.my,1941
scholastic.com,1948
kugou.com,1951
58pic.com,1955
hsforms.com,1966
e621.net,1984
mozgcp.net,1992
dbankcloud.cn,1993
simpcity.su,2009
rackcdn.com,2027
patria.org.ve,2030
myfreecams.com,2032
sex.com,2045
17173.com,2055
amazon.dev,2058
36kr.com,2075
aznude.com,2076
editorialmanager.com,2099
hanime.tv,2119
caliente.mx,2131
moe.gov.cn,2132
nordvpn.com,2141
po-kaki-to.com,2145
wnacg.org,2146
gmarket.co.kr,2180
footprint.net,2210
torproject.org,2213
u-tokyo.ac.jp,2217
biancheng.net,2219
glamour.com,2224
kuronekoyamato.co.jp,2232
sextb.net,2237
bankmellat.ir,2261
newsmax.com,2296
neexulro.net,2304
wto.org,2309
sspai.com,2318
avgle.com,2319
f95zone.to,2327
360kuai.com,2337
discovermagazine.com,2362
dandanzan10.top,2376
cas.cn,2400
watchfreejavonline.co,2407
ondemand.com,2413
href.li,2421
xhamster.desi,2436
azurefd.net,2442
vjav.com,2449
fazenda.gov.br,2456
oray.com,2483
wistia.net,2486
us.org,2497
eitaa.com,2505
imagefap.com,2508
syf.com,2527
javbus.com,2529
ok.xxx,2541
utorrent.com,2575
emofid.com,2578
incestflix.com,2609
ibytedtos.com,2616
x-mol.com,2618
right.com.cn,2624
thefappeningblog.com,2636
lazada.co.id,2658
perfectgirls.net,2670
milliyet.com.tr,2677
infoseek.co.jp,2690
ultipro.com,2707
pornkai.com,2711
myzaker.com,2712
allawnos.com,2713
jimdosite.com,2717
clickbank.net,2727
beeg.com,2745
west.cn,2747
mirconnect.ru,2754
12371.cn,2756
esy.es,2759
sbrf.ru,2764
xvideos.es,2782
updateenow.com,2787
58.com,2792
3d66.com,2795
quantummetric.com,2800
ky.gov,2802
bit.do,2807
literotica.com,2818
weather.com.cn,2821
pornhat.com,2823
callofduty.com,2826
clips4sale.com,2828
ip138.com,2831
kroger.com,2844
ntu.edu.tw,2858
gesetze-im-internet.de,2865
myftpupload.com,2880
apartments.com,2892
xitongzhijia.net,2893
imooc.com,2907
lofter.com,2910
fuq.com,2914
yodobashi.com,2918
diabetes.org,2924
bmi.ir,2925
1x001.com,2933
mykajabi.com,2941
erothots.co,2942
hetapus.com,2944
hdsex.org,2947
gsxt.gov.cn,2948
boc.cn,2950
shobserver.com,2959
cdiscount.com,2960
activision.com,2962
downza.cn,2964
lazada.vn,2966
sofascore.com,2974
brazzers.com,2984
network-auth.com,2988
elecfans.com,2999
bt-tt.com,3027
javmost.com,3028
sankakucomplex.com,3032
banvenez.com,3041
wi.gov,3046
nudevista.com,3050
91duba.com,3054
telewebion.com,3055
mcbbs.net,3067
afp.com,3070
staples.com,3073
conferdeploy.net,3087
stats.gov.cn,3095
zarinpal.com,3099
zdassets.com,3103
cambro.tv,3106
anjuke.com,3110
hola.org,3111
people.cn,3120
shell.com,3127
pochta.ru,3131
square-enix.com,3144
pc6.com,3160
enamad.ir,3161
sat.gob.mx,3168
imhentai.xxx,3172
lululemon.com,3201
pantheonsite.io,3204
incometax.gov.in,3206
volvocars.com,3209
parliament.uk,3210
christies.com,3213
xgroovy.com,3215
yoojia.com,3231
uni-muenchen.de,3234
louisvuitton.com,3238
hdzog.com,3256
qiita.com,3258
bom.gov.au,3262
itemfix.com,3272
thaudray.com,3283
meti.go.jp,3290
mlit.go.jp,3294
liepin.com,3301
manyvids.com,3303
ngabbs.com,3307
mofa.go.jp,3308
cainiao.com,3312
downxia.com,3314
kobo.com,3323
madrasati.sa,3361
tb.cn,3373
exhentai.org,3382
ssacdn.com,3418
tci.ir,3421
greenend.org.uk,3422
9damaogame.net,3426
tanium.com,3437
urporn.com,3442
exporntoons.net,3449
nhc.gov.cn,3471
synchrony.com,3486
adliran.ir,3494
xjtu.edu.cn,3514
repec.org,3521
pornhubpremium.com,3558
comodo.com,3579
esteri.it,3584
javlibrary.com,3589
cocolog-nifty.com,3598
goodporn.to,3607
n11.com,3628
gaymaletube.com,3633
nju.edu.cn,3644
kuaidi100.com,3654
ohio-state.edu,3696
adultfriendfinder.com,3717
hust.edu.cn,3722
state.co.us,3728
adtng.com,3731
absher.sa,3739
draftkings.com,3750
xuetangx.com,3754
sexkbj.com,3760
g2afse.com,3765
tubesafari.com,3766
paytm.in,3784
64365.com,3792
nudostar.com,3801
basalam.com,3817
bts.gov,3833
fmprc.gov.cn,3836
meb.gov.tr,3845
techopedia.com,3849
rakuten.ne.jp,3870
somode.com,3881
mercantilbanco.com,3889
ndrc.gov.cn,3908
queue-it.net,3913
bancodevenezuela.com,3942
elsevierhealth.com,3943
japaneseasmr.com,3946
mangafreak.net,3952
lpsnmedia.net,3983
courant.com,4007
nii.ac.jp,4016
xfreehd.com,4018
activecampaign.com,4024
images-amazon.com,4032
588ku.com,4035
jiemian.com,4037
daraz.com.bd,4057
playvids.com,4070
rs-online.com,4072
yourtango.com,4081
tubegalore.com,4085
4kporn.xxx,4096
cn-healthcare.com,4099
sothebys.com,4100
cbn.com,4114
doe.gov,4117
cudasvc.com,4118
influencersgonewild.com,4122
sanook.com,4123
post.ir,4126
net-a-porter.com,4127
utm.edu,4132
wisconsin.gov,4135
secureservercdn.net,4145
csic.es,4164
thumbzilla.com,4173
cam4.com,4181
mysmth.net,4209
cnipa.gov.cn,4224
emb-japan.go.jp,4226
bbci.co.uk,4233
popin.cc,4252
scs.gov.cn,4263
lanzoub.com,4278
sciencenet.cn,4294
vcg.com,4299
axisbank.co.in,4301
usajobs.gov,4307
qstheory.cn,4314
cuni.cz,4337
dbankcdn.com,4359
